num_of_rooms,city,year,quarter,district,num_of_transactions,avg_price
2.5-3,Ashdod,2022,4,South,164,1597.9
3.5-4,Ashdod,2022,4,South,157,1942.9
4.5-5,Ashdod,2022,4,South,85,2587.2
5.5-6,Ashdod,2022,4,South,22,3162.9
1-2,Ashdod,2023,1,South,39,1129.5
2.5-3,Ashdod,2023,1,South,115,1646.3
3.5-4,Ashdod,2023,1,South,152,1939.6
4.5-5,Ashdod,2023,1,South,96,2608.8
5.5-6,Ashdod,2023,1,South,18,2761.2
1-2,Ashdod,2023,2,South,40,1146.2
2.5-3,Ashdod,2023,2,South,123,1645.6
3.5-4,Ashdod,2023,2,South,108,1971.8
4.5-5,Ashdod,2023,2,South,70,2667.6
5.5-6,Ashdod,2023,2,South,10,2809.2
1-2,Ashdod,2023,3,South,19,1286.8
2.5-3,Ashdod,2023,3,South,151,1658.8
3.5-4,Ashdod,2023,3,South,173,2054
4.5-5,Ashdod,2023,3,South,113,2729.6
5.5-6,Ashdod,2023,3,South,10,3448.6
1-2,Ashdod,2023,4,South,14,1150.3
2.5-3,Ashdod,2023,4,South,98,1731.9
3.5-4,Ashdod,2023,4,South,96,1984.2
4.5-5,Ashdod,2023,4,South,44,2496.9
5.5-6,Ashdod,2023,4,South,5,-
1-2,Ashkelon,2019,1,South,40,649.1
2.5-3,Ashkelon,2019,1,South,112,866.3
3.5-4,Ashkelon,2019,1,South,283,1212.6
4.5-5,Ashkelon,2019,1,South,101,1543.5
5.5-6,Ashkelon,2019,1,South,6,2036.7
1-2,Ashkelon,2019,2,South,29,626.1
2.5-3,Ashkelon,2019,2,South,86,864.1
3.5-4,Ashkelon,2019,2,South,281,1213.9
4.5-5,Ashkelon,2019,2,South,123,1627.1
5.5-6,Ashkelon,2019,2,South,3,-
1-2,Ashkelon,2019,3,South,22,649.4
2.5-3,Ashkelon,2019,3,South,97,859.4
3.5-4,Ashkelon,2019,3,South,292,1229
4.5-5,Ashkelon,2019,3,South,130,1550.5
5.5-6,Ashkelon,2019,3,South,3,-
1-2,Ashkelon,2019,4,South,19,693.8
2.5-3,Ashkelon,2019,4,South,190,852.3
3.5-4,Ashkelon,2019,4,South,602,1140.1
4.5-5,Ashkelon,2019,4,South,153,1572.1
5.5-6,Ashkelon,2019,4,South,3,-
1-2,Ashkelon,2020,1,South,19,622.9
2.5-3,Ashkelon,2020,1,South,278,860.3
3.5-4,Ashkelon,2020,1,South,368,1195.6
4.5-5,Ashkelon,2020,1,South,208,1499.8
5.5-6,Ashkelon,2020,1,South,11,1958.3
1-2,Ashkelon,2020,2,South,19,622.9
2.5-3,Ashkelon,2020,2,South,278,860.3
3.5-4,Ashkelon,2020,2,South,368,1195.6
4.5-5,Ashkelon,2020,2,South,208,1499.8
5.5-6,Ashkelon,2020,2,South,11,1958.3
1-2,Ashkelon,2020,3,South,39,669.2
2.5-3,Ashkelon,2020,3,South,291,856.6
3.5-4,Ashkelon,2020,3,South,549,1147
4.5-5,Ashkelon,2020,3,South,298,1518.2
5.5-6,Ashkelon,2020,3,South,13,2110
1-2,Ashkelon,2020,4,South,26,615.1
2.5-3,Ashkelon,2020,4,South,239,883.5
3.5-4,Ashkelon,2020,4,South,575,1170.8
4.5-5,Ashkelon,2020,4,South,351,1538.3
5.5-6,Ashkelon,2020,4,South,15,2201
1-2,Ashkelon,2021,1,South,39,964.2
2.5-3,Ashkelon,2021,1,South,193,1293.3
3.5-4,Ashkelon,2021,1,South,245,1657.7
4.5-5,Ashkelon,2021,1,South,150,2087.9
5.5-6,Ashkelon,2021,1,South,11,2128.6
1-2,Ashkelon,2021,2,South,39,964.2
2.5-3,Ashkelon,2021,2,South,193,1293.3
3.5-4,Ashkelon,2021,2,South,245,1657.7
4.5-5,Ashkelon,2021,2,South,150,2087.9
5.5-6,Ashkelon,2021,2,South,11,2128.6
1-2,Ashkelon,2021,3,South,39,964.2
2.5-3,Ashkelon,2021,3,South,193,1293.3
3.5-4,Ashkelon,2021,3,South,245,1657.7
4.5-5,Ashkelon,2021,3,South,150,2087.9
5.5-6,Ashkelon,2021,3,South,11,2128.6
1-2,Ashkelon,2021,4,South,54,1045.3
2.5-3,Ashkelon,2021,4,South,230,1366.1
3.5-4,Ashkelon,2021,4,South,292,1691.4
4.5-5,Ashkelon,2021,4,South,187,2366.1
5.5-6,Ashkelon,2021,4,South,21,2441.7
1-2,Ashkelon,2022,1,South,46,729.5
2.5-3,Ashkelon,2022,1,South,368,920.1
3.5-4,Ashkelon,2022,1,South,541,1351.3
4.5-5,Ashkelon,2022,1,South,407,1724.8
5.5-6,Ashkelon,2022,1,South,16,2303.6
1-2,Ashkelon,2022,2,South,46,729.5
2.5-3,Ashkelon,2022,2,South,368,920.1
3.5-4,Ashkelon,2022,2,South,541,1351.3
4.5-5,Ashkelon,2022,2,South,407,1724.8
5.5-6,Ashkelon,2022,2,South,16,2303.6
1-2,Ashkelon,2022,3,South,46,729.5
2.5-3,Ashkelon,2022,3,South,368,920.1
3.5-4,Ashkelon,2022,3,South,541,1351.3
4.5-5,Ashkelon,2022,3,South,407,1724.8
5.5-6,Ashkelon,2022,3,South,16,2303.6
1-2,Ashkelon,2022,4,South,34,849.6
2.5-3,Ashkelon,2022,4,South,121,1131.8
3.5-4,Ashkelon,2022,4,South,187,1704.3
4.5-5,Ashkelon,2022,4,South,98,2080.5
5.5-6,Ashkelon,2022,4,South,12,2693.8
1-2,Ashkelon,2023,1,South,36,796.3
2.5-3,Ashkelon,2023,1,South,117,1141.6
3.5-4,Ashkelon,2023,1,South,190,1586.9
4.5-5,Ashkelon,2023,1,South,77,2266.3
5.5-6,Ashkelon,2023,1,South,15,2918.7
1-2,Ashkelon,2023,2,South,14,900.9
2.5-3,Ashkelon,2023,2,South,109,1158.1
3.5-4,Ashkelon,2023,2,South,152,1594.3
4.5-5,Ashkelon,2023,2,South,81,2118.4
5.5-6,Ashkelon,2023,2,South,15,2923.3
1-2,Ashkelon,2023,3,South,22,823.2
2.5-3,Ashkelon,2023,3,South,132,1135.5
3.5-4,Ashkelon,2023,3,South,209,1586.4
4.5-5,Ashkelon,2023,3,South,107,2138.9
5.5-6,Ashkelon,2023,3,South,15,2566.2
1-2,Ashkelon,2023,4,South,9,833.2
2.5-3,Ashkelon,2023,4,South,75,1316.2
3.5-4,Ashkelon,2023,4,South,104,1671.6
4.5-5,Ashkelon,2023,4,South,48,2202.1
5.5-6,Ashkelon,2023,4,South,4,-
1-2,Beer Sheba,2019,1,South,59,566.1
2.5-3,Beer Sheba,2019,1,South,254,747.3
3.5-4,Beer Sheba,2019,1,South,494,1072.9
4.5-5,Beer Sheba,2019,1,South,210,1392.2
5.5-6,Beer Sheba,2019,1,South,42,1697.3
1-2,Beer Sheba,2019,2,South,59,566.1
2.5-3,Beer Sheba,2019,2,South,254,747.3
3.5-4,Beer Sheba,2019,2,South,494,1072.9
4.5-5,Beer Sheba,2019,2,South,210,1392.2
5.5-6,Beer Sheba,2019,2,South,42,1697.3
1-2,Beer Sheba,2019,3,South,66,548.1
2.5-3,Beer Sheba,2019,3,South,322,737.6
3.5-4,Beer Sheba,2019,3,South,424,1062.6
4.5-5,Beer Sheba,2019,3,South,184,1349.8
5.5-6,Beer Sheba,2019,3,South,40,1708.6
1-2,Beer Sheba,2019,4,South,56,571.1
2.5-3,Beer Sheba,2019,4,South,248,777.9
3.5-4,Beer Sheba,2019,4,South,408,1085.4
4.5-5,Beer Sheba,2019,4,South,183,1332.2
5.5-6,Beer Sheba,2019,4,South,50,1744.9
1-2,Beer Sheba,2020,1,South,59,556.1
2.5-3,Beer Sheba,2020,1,South,240,763.1
3.5-4,Beer Sheba,2020,1,South,400,1062.8
4.5-5,Beer Sheba,2020,1,South,201,1395
5.5-6,Beer Sheba,2020,1,South,35,1688.2
1-2,Beer Sheba,2020,2,South,45,592.9
2.5-3,Beer Sheba,2020,2,South,183,793.5
3.5-4,Beer Sheba,2020,2,South,289,1086.3
4.5-5,Beer Sheba,2020,2,South,127,1430.4
5.5-6,Beer Sheba,2020,2,South,27,1961.8
1-2,Beer Sheba,2020,3,South,45,592.9
2.5-3,Beer Sheba,2020,3,South,183,793.5
3.5-4,Beer Sheba,2020,3,South,289,1086.3
4.5-5,Beer Sheba,2020,3,South,127,1430.4
5.5-6,Beer Sheba,2020,3,South,27,1961.8
1-2,Beer Sheba,2020,4,South,47,566.7
2.5-3,Beer Sheba,2020,4,South,251,777
3.5-4,Beer Sheba,2020,4,South,386,1112
4.5-5,Beer Sheba,2020,4,South,193,1486.3
5.5-6,Beer Sheba,2020,4,South,35,1714.5
1-2,Beer Sheba,2021,1,South,58,547.1
2.5-3,Beer Sheba,2021,1,South,297,743.9
3.5-4,Beer Sheba,2021,1,South,383,1088.7
4.5-5,Beer Sheba,2021,1,South,149,1554.8
5.5-6,Beer Sheba,2021,1,South,37,1797
1-2,Beer Sheba,2021,2,South,75,568.4
2.5-3,Beer Sheba,2021,2,South,371,755.3
3.5-4,Beer Sheba,2021,2,South,373,1077.2
4.5-5,Beer Sheba,2021,2,South,129,1537.8
5.5-6,Beer Sheba,2021,2,South,32,1968
1-2,Beer Sheba,2021,3,South,84,564
2.5-3,Beer Sheba,2021,3,South,332,768.1
3.5-4,Beer Sheba,2021,3,South,397,1093.5
4.5-5,Beer Sheba,2021,3,South,144,1522.7
5.5-6,Beer Sheba,2021,3,South,29,2006.4
1-2,Beer Sheba,2021,4,South,97,556.9
2.5-3,Beer Sheba,2021,4,South,395,769.3
3.5-4,Beer Sheba,2021,4,South,448,1106.3
4.5-5,Beer Sheba,2021,4,South,158,1628.9
5.5-6,Beer Sheba,2021,4,South,42,2005.9
1-2,Beer Sheba,2022,1,South,84,549.5
2.5-3,Beer Sheba,2022,1,South,412,810.5
3.5-4,Beer Sheba,2022,1,South,447,1169.4
4.5-5,Beer Sheba,2022,1,South,206,1660.7
5.5-6,Beer Sheba,2022,1,South,38,2065
1-2,Beer Sheba,2022,2,South,83,594.1
2.5-3,Beer Sheba,2022,2,South,433,822.4
3.5-4,Beer Sheba,2022,2,South,453,1169.8
4.5-5,Beer Sheba,2022,2,South,204,1681.3
5.5-6,Beer Sheba,2022,2,South,102,1812.6
1-2,Beer Sheba,2022,3,South,98,622.2
2.5-3,Beer Sheba,2022,3,South,420,803.7
3.5-4,Beer Sheba,2022,3,South,449,1151.8
4.5-5,Beer Sheba,2022,3,South,153,1715.7
5.5-6,Beer Sheba,2022,3,South,38,1908.4
1-2,Beer Sheba,2022,4,South,84,621.1
2.5-3,Beer Sheba,2022,4,South,385,870.9
3.5-4,Beer Sheba,2022,4,South,308,1214.9
